Taxy-Pro2	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
Taxy-Pro1	1.99030927201	1.79503245229	1.98331137845	1.98253510344	1.9852590572	1.93538582678	1.84677477474	1.98173175891
Quickr	1.97198452246	1.79597204292	1.96270039535	1.96462931933	1.97302734783	1.81586791725	1.92710996981	1.97127106119
CLARK	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
FOCUS	2.0	1.8397860692	2.0	2.0	2.0	1.96545573077	1.84595436556	2.0
CommonKmers	1.95759471648	1.76705436418	1.9620463117	1.95475838412	1.94970532995	1.93409326146	1.7701032627	1.95488830392
metalign	1.78521439393	1.5472940255	1.77547026784	1.77570145573	1.76940477818	1.57835167047	1.69685869147	1.78464747172
Metaphlan2	1.97902466172	1.76847658354	1.97054980127	1.96725308255	1.96054698095	1.93409326146	1.77342306378	1.96372293217
TIPP	1.98129973236	1.80875164541	1.97572243097	1.976005942	1.96902649851	1.93463094646	1.87187604401	1.97161712267
mOTU	1.98905701608	1.78704064954	1.98645551939	1.98481098419	1.99108564364	1.93463094646	1.82995982004	1.98602881
Metaphyler	1.98213379567	1.81401198429	1.97481776207	1.97439944047	1.96944098448	1.93463094646	1.87330266428	1.970818737
